id;start_date;end_date;language
1;2020-03-26T08:21:00;2020-03-26T06:11:15;SPANISH
2;2020-03-25T13:11:11;2020-03-26T08:15:36;SPANISH
3;2020-03-26T04:06:30;2020-03-25T14:40:39;FRENCH
4;2020-03-25T19:24:01;2020-03-26T06:55:27;FRENCH
5;2020-03-26T04:54:19;2020-03-26T09:41:18;FRENCH
6;2020-03-25T22:46:40;2020-03-26T10:54:54;FRENCH
7;2020-03-26T00:32:00;2020-03-25T18:22:51;FRENCH
8;2020-03-25T23:28:13;2020-03-26T09:44:21;SPANISH
9;2020-03-25T22:09:22;2020-03-25T18:50:45;SPANISH
10;2020-03-26T06:21:26;2020-03-25T16:55:56;SPANISH
